city_id	city_desc
593	Idaho City
594	Las Cruces
595	Alaska
596	Dickinson
597	Jackson
598	Blackpool
599	Cape May
600	Fort Collins
601	Akron
602	Amana Colonies
603	Huntington
604	Arcadia
605	Santa Rosa
606	Revere
607	Liverpool
608	Florissant
609	Monroe
610	New Orleans
611	Bourne
612	Quincy
613	Naples
614	Swansea
615	Tampa
616	Leominster
617	Grafton
618	Selma
619	Massachusetts
620	Estes Park
621	San Felipe
622	Quebec
623	Werribee
624	Asheville
625	Orange
626	Malden
627	Independence
628	Shiprock
629	Aliquippa
630	Laredo
631	Sunderland
632	Carrollton
633	Huntsville
634	Milton Keynes
635	Napa
636	East Hartford
637	Elwood
638	Cairo
639	Kenosha
640	Chelmsford
641	Burbank
642	Moline
643	Vineland
644	Cheltenham
645	Modesto
646	Birmingham
647	El Dorado
648	Calexico
649	Oxnard
650	Bellefontaine
651	Erie
652	Stamford
653	Poughkeepsie
654	Mobile
655	Honesdale
656	Redding
657	Olathe
658	Rancho Cucamonga
659	San Luis Obispo
660	Vermillion
661	Bradenton
662	Sonoma
663	Central Falls
664	Eveleth
665	El Monte
666	Greater Manchester
667	Pekin
668	Plymouth
669	Interlochen
670	Coventry
671	Galesburg
672	Nottingham
673	Hagerstown
674	Petersburg
675	Tullahoma
676	Iowa City
677	Pine Bluff
678	Miami
679	High Point
680	Saint Louis
681	Valparaiso
682	Deerfield Beach
683	Brookline
684	Toledo
685	Palmdale
686	Romney
687	Dayton
688	Kitchener
689	Normal
690	Kawartha Lakes
691	Lewes
692	Troy
693	Sheridan
694	Lompoc
695	West Palm Beach
696	Martinsville
697	Joplin
698	Kewanee
699	Ansonia
700	Shawneetown
701	Waterloo
702	Albert Lea
703	Gainesville
704	Henderson
705	Wichita
706	Midland
707	Utah
708	Gananoque
709	Dover
710	Groton
711	Vancouver
712	Southend-on-Sea
713	Escondido
714	Phenix City
715	Norton
716	Largo
717	Natick
718	Santa Barbara
719	Fall River
720	Morganton
721	Thorold
722	Cleveland
723	Woodstock
724	Branford
725	Oregon City
726	Kittery
727	Germantown
728	Oswego
729	Athens
730	Clovis
731	Corydon
732	Gatineau
733	Dothan
734	Manhattan
735	Bessemer
736	Bangor
737	Anderson
738	Burnaby
739	Florida
740	Cuyahoga Falls
741	Dahlonega
742	Lorain
743	San Clemente
744	Climax
745	Abingdon
746	Victorville
747	West Bend
748	Watkins Glen
749	Grand Island
750	New Harmony
751	Hingham
752	Northern Territory
753	Petaluma
754	Ojai
755	Murfreesboro
756	Newfoundland and Labrador
757	Ossining
758	Sharon
759	Red Wing
760	Palm Bay
761	Clanton
762	Saint Augustine
763	Duncan
764	Corpus Christi
765	Pinehurst
766	Lancaster
767	Monterey
768	Caldwell
769	Elgin
770	Alton
771	Newburyport
772	West Yorkshire
773	Stevens Point
774	Weirton
775	Cahokia
776	Magog
777	Cumberland
778	McPherson
779	Faribault
780	Madison
781	Berlin
782	Ishpeming
783	Bakersfield
784	American Fork
785	Wilmington
786	Fremantle
787	Vermont
788	Hartsville
789	Emmitsburg
790	Mystic
791	Westport
792	Preston
793	Seymour
794	Fort Frances
795	Barrie
796	Van Buren
797	Fort Erie
798	Oskaloosa
799	Anaheim
800	Grand Haven
801	Lake Wales
